payment_id,customer_id,amount,currency,payment_method,status,failure_reason,retry_count,created_at
pay_100000,cust_1048,42405,INR,netbanking,success,,0,2026-08-06T17:01:55.935848
pay_100001,cust_1044,15128,INR,card,failed,unknown,2,2026-08-10T05:39:55.935848
pay_100002,cust_1006,28151,INR,upi,success,,0,2026-08-06T22:14:55.935848
pay_100003,cust_1036,33618,INR,upi,pending,network_timeout,2,2026-08-06T18:41:55.935848
pay_100004,cust_1015,43090,INR,wallet,pending,network_timeout,2,2026-08-24T15:55:55.935848
pay_100005,cust_1045,18731,INR,wallet,success,,1,2026-08-12T20:05:55.935848
pay_100006,cust_1007,18710,INR,card,failed,bank_declined,1,2026-08-20T21:21:55.935848
pay_100007,cust_1017,6838,INR,card,failed,network_timeout,2,2026-09-02T01:07:55.935848
pay_100008,cust_1025,30608,INR,card,pending,network_timeout,2,2026-08-11T06:02:55.935848
pay_100009,cust_1037,19713,INR,upi,pending,network_timeout,2,2026-08-22T00:42:55.935848
pay_100010,cust_1050,5058,INR,netbanking,success,,0,2026-08-15T22:37:55.935848
pay_100011,cust_1018,15756,INR,wallet,success,,2,2026-08-22T20:53:55.935848
pay_100012,cust_1014,24409,INR,netbanking,failed,network_timeout,2,2026-08-21T17:45:55.935848
pay_100013,cust_1041,45296,INR,upi,success,,2,2026-09-02T07:02:55.935848
pay_100014,cust_1025,48284,INR,netbanking,failed,bank_declined,2,2026-08-26T14:36:55.935848
pay_100015,cust_1044,45599,INR,netbanking,pending,network_timeout,0,2026-08-15T13:34:55.935848
pay_100016,cust_1026,15510,INR,netbanking,success,,0,2026-08-19T22:15:55.935848
pay_100017,cust_1014,14326,INR,wallet,pending,network_timeout,1,2026-08-19T21:24:55.935848
pay_100018,cust_1009,42629,INR,upi,failed,bank_declined,2,2026-08-17T15:01:55.935848
pay_100019,cust_1048,37289,INR,wallet,pending,network_timeout,2,2026-08-17T12:41:55.935848
pay_100020,cust_1033,26675,INR,wallet,failed,bank_declined,0,2026-08-11T20:47:55.935848
pay_100021,cust_1041,3587,INR,upi,success,,2,2026-08-12T12:38:55.935848
pay_100022,cust_1025,28166,INR,wallet,pending,network_timeout,2,2026-08-08T11:05:55.935848
pay_100023,cust_1036,31174,INR,card,pending,network_timeout,2,2026-08-17T00:18:55.935848
pay_100024,cust_1049,47733,INR,netbanking,success,,2,2026-08-30T00:12:55.935848
pay_100025,cust_1028,22793,INR,upi,success,,1,2026-08-18T22:16:55.935848
pay_100026,cust_1033,712,INR,card,failed,limit_exceeded,2,2026-08-13T16:50:55.935848
pay_100027,cust_1013,20058,INR,upi,pending,network_timeout,1,2026-09-02T06:51:55.935848
